32   0.0 0.0 0.0 0.1 10 36
33 ! 0.11957 0.15761 0.0 0.1 4 36
34 " 0.21739 0.25815 0.0 0.1 10 36
35 # 0.31522 0.36413 0.0 0.1 15 36
36 $ 0.41033 0.45924 0.0 0.1 12 36
37 % 0.51087 0.58424 0.0 0.1 23 36
38 & 0.61141 0.68478 0.0 0.1 23 36
39 ' 0.70380 0.73913 0.0 0.1 5 36
40 ( 0.80435 0.84239 0.0 0.1 7 36
41 ) 0.89674 0.93207 0.0 0.1 7 36
42 * 0.02174 0.05707 0.1 0.2 11 36
43 + 0.12772 0.17663 0.1 0.2 12 36
44 , 0.21467 0.24728 0.1 0.2 5 36
45 - 0.31522 0.35326 0.1 0.2 8 36
46 . 0.41304 0.43750 0.1 0.2 4 36
47 / 0.51087 0.54891 0.1 0.2 8 36
48 0 0.60870 0.65489 0.1 0.2 13 36
49 1 0.71196 0.75000 0.1 0.2 9 36
50 2 0.80435 0.85054 0.1 0.2 14 36
51 3 0.90217 0.94837 0.1 0.2 13 36
52 4 0.01630 0.07608 0.2 0.3 15 36
53 5 0.12772 0.17663 0.2 0.3 12 36
54 6 0.21739 0.27174 0.2 0.3 13 36
55 7 0.30978 0.36413 0.2 0.3 13 36
56 8 0.40761 0.46739 0.2 0.3 13 36
57 9 0.51087 0.55435 0.2 0.3 13 36
58 : 0.61141 0.63043 0.2 0.3 4 36
59 ; 0.70652 0.73913 0.2 0.3 5 36
60 < 0.79891 0.85870 0.2 0.3 17 36
61 = 0.89130 0.96196 0.2 0.3 17 36
62 > 0.01630 0.07609 0.3 0.4 17 36
63 ? 0.12228 0.17120 0.3 0.4 11 36
64 @ 0.21467 0.29891 0.3 0.4 26 36
65 A 0.31250 0.38315 0.3 0.4 22 36
66 B 0.40217 0.47826 0.3 0.4 19 36
67 C 0.50543 0.57337 0.3 0.4 18 36
68 D 0.60326 0.67391 0.3 0.4 21 36
69 E 0.70109 0.76630 0.3 0.4 18 36
70 F 0.79620 0.85598 0.3 0.4 16 36
71 G 0.89946 0.96739 0.3 0.4 21 36
72 H 0.01902 0.08967 0.4 0.5 21 36
73 I 0.12228 0.16848 0.4 0.5 10 36
74 J 0.21467 0.26087 0.4 0.5 12 36
75 K 0.31250 0.38043 0.4 0.5 22 36
76 L 0.40217 0.47282 0.4 0.5 18 36
77 M 0.50543 0.59239 0.4 0.5 27 36
78 N 0.60054 0.67391 0.4 0.5 23 36
79 O 0.70109 0.77446 0.4 0.5 20 36
80 P 0.79891 0.85870 0.4 0.5 16 36
81 Q 0.89674 0.97826 0.4 0.5 20 36
82 R 0.01630 0.08696 0.5 0.6 21 36
83 S 0.12500 0.17935 0.5 0.6 15 36
84 T 0.21467 0.27717 0.5 0.6 18 36
85 U 0.31250 0.38315 0.5 0.6 22 36
86 V 0.41304 0.48098 0.5 0.6 22 36
87 W 0.50815 0.59783 0.5 0.6 29 36
88 X 0.60326 0.67391 0.5 0.6 22 36
89 Y 0.70380 0.77446 0.5 0.6 22 36
90 Z 0.80163 0.86141 0.5 0.6 18 36
91 [ 0.89946 0.94022 0.5 0.6 7 36
92 \ 0.09021 0.05435 0.6 0.7 9 36
93 ] 0.12500 0.16304 0.6 0.7 7 36
94 ^ 0.20924 0.26359 0.6 0.7 14 36
95 _ 0.30978 0.36685 0.6 0.7 17 36
96 ` 0.41032 0.44565 0.6 0.7 6 36
97 a 0.51087 0.55707 0.6 0.7 13 36
98 b 0.60326 0.66033 0.6 0.7 15 36
99 c 0.70380 0.75000 0.6 0.7 12 36
100 d 0.80163 0.85326 0.6 0.7 16 36
101 e 0.89946 0.94837 0.6 0.7 12 36
102 f 0.01902 0.06522 0.7 0.8 13 36
103 g 0.12500 0.17663 0.7 0.8 15 36
104 h 0.21467 0.26902 0.7 0.8 15 36
105 i 0.31250 0.34511 0.7 0.8 8 36
106 j 0.40217 0.44293 0.7 0.8 9 36
107 k 0.50543 0.56250 0.7 0.8 16 36
108 l 0.60598 0.63859 0.7 0.8 8 36
109 m 0.70109 0.77717 0.7 0.8 24 36
110 n 0.80163 0.85326 0.7 0.8 15 36
111 o 0.90217 0.94837 0.7 0.8 13 36
112 p 0.01902 0.06793 0.8 0.9 15 36
113 q 0.13905 0.17935 0.8 0.9 16 36
114 r 0.21467 0.25272 0.8 0.9 11 36
115 s 0.31522 0.35326 0.8 0.9 10 36
116 t 0.41033 0.44837 0.8 0.9 9 36
117 u 0.50815 0.55978 0.8 0.9 15 36
118 v 0.60598 0.65761 0.8 0.9 15 36
119 w 0.70380 0.77174 0.8 0.9 22 36
120 x 0.80163 0.85326 0.8 0.9 15 36
121 y 0.89674 0.95109 0.8 0.9 15 36
122 z 0.01902 0.06793 0.9 1.0 13 36
123 { 0.13587 0.17391 0.9 1.0 9 36
124 | 0.22011 0.23641 0.9 1.0 2 36
125 } 0.31793 0.35326 0.9 1.0 9 36
126 ~ 0.40761 0.46467 0.9 1.0 16 36
